record_type,ring_no,scheme,scheme2,ring_no2,species_name,age,pulli_ringed,pulli_alive,sex,sexing_method,provisional_sex,breeding_condition,visit_date,capture_time,location_name,gridRef,habitat_1,habitat_2,status_code_1,status_code_2,lure_code_1,lure_code_2,wing_length,weight,date_measured,time_w,condition,moult_code,alula,old_greater_coverts,primary_moult,primary_covert_moult_scores,secondary_moult_scores,finding_condition,finding_circumstances,capture_method,metal_mark_info,ringer_initials,ringer_check_initials,processor_initials,extractor_initials,wing_initials,colour_mark_info,metal_mark_position,fatCombined,pectoral_muscle,body_moult,greater_covert_moult_scores,alula_moult_scores,carpal_covert_moult,wing_point,primary_length,bill_length_method,bill_length,head_bill_length,bill_depth_method,bill_depth,tarsus_length_method,tail_moult_scores,tarsus_length,tail_length,claw_length,plumage,tail_diff,lesser_median_covert_moult,underwing_covert_moult,head_moult,upperparts_moult,underparts_moult,permit_no,pullus_stage,extra_text,date_accuracy,left_leg_below,right_leg_below,left_leg_above,right_leg_above,neck_collar,left_wing_tag,right_wing_tag,nasal_saddle,sample_processed,high_tide_time,finder_name,own,own2,userc1,userc2,email,userc3,userc4,userc5,userv1,userv2,userv3,userv4,userv5,l_primary_moult_scores,l_secondary_moult_scores,l_tail_moult_scores,l_primary_covert_moult_scores,l_greater_covert_moult_scores,l_carpal_covert_moult,l_alula_moult_scores,toe_span
N,ABJ1939,GBT,,,Blackcap,3,,,M,P,U,,31/07/2019,05:00,CES5-LIP (CES5-LIP),TQ7776,B1,--,U,U,U,U,76,18.6,31/07/2019,05:00,N,P,,,,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,LK78271,GBT,,,Blackbird,3J,,,F,P,U,,31/07/2019,06:00,CES4-LIP (CES4-LIP),TQ7776,B1,--,U,U,U,U,122,86.9,31/07/2019,06:00,N,J,,,,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ1941,GBT,,,Blackcap,3J,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,75,16.1,31/07/2019,06:00,N,P,,,,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,KKJ392,GBT,,,Long-tailed Tit,3,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,59,7.5,31/07/2019,06:00,N,M,,,5555531000,,,8,20,M,-,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,KKJ385,GBT,,,Long-tailed Tit,3,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,61,7.6,31/07/2019,06:00,N,M,,,5555541000,,,8,20,M,-,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,KKJ389,GBT,,,Long-tailed Tit,3,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,62,8,31/07/2019,06:00,N,M,,,5555541000,,,8,20,M,-,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,JNT796,GBT,,,Long-tailed Tit,3,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,56,6.8,31/07/2019,06:00,N,M,,,5555410000,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JNT795,GBT,,,Long-tailed Tit,3,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,58,7.6,31/07/2019,06:00,N,M,,,5555531000,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JNT794,GBT,,,Long-tailed Tit,3,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,60,7.8,31/07/2019,06:00,N,M,,,5555554200,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JNT793,GBT,,,Long-tailed Tit,3,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,58,7.1,31/07/2019,06:00,N,M,,,5555542000,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JNT792,GBT,,,Long-tailed Tit,3,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,60,8.3,31/07/2019,06:00,N,M,,,5555542000,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JNT791,GBT,,,Long-tailed Tit,2,,,U,U,U,,31/07/2019,06:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,61,7.6,31/07/2019,06:00,N,M,,,5555541000,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,ANE8833,GBT,,,Blackcap,3J,,,U,U,U,,31/07/2019,05:00,CES3-LIP (CES3-LIP),TQ7776,B1,--,U,U,U,U,75,16.5,31/07/2019,05:00,N,P,,,,,,8,20,M,-,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,ABJ1912,GBT,,,Blackcap,4,,,F,P,U,4,31/07/2019,10:00,CES2-LIP (CES2-LIP),TQ7776,B1,--,U,U,U,U,73,18.8,31/07/2019,10:00,N,M,,,5222000000,,,8,20,M,-,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
